INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,X,Y
I182067175,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,8/22/18,2018,8,Wednesday,13,Part Two,DUDLEY ST,42.32644,-71.07577
I182061751,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,8/4/18,2018,8,Saturday,12,Part Two,WASHINGTON ST,42.30577,-71.08098
I182060598,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,7/31/18,2018,7,Tuesday,19,Part Two,WILLIAM T MORRISSEY BLVD,42.31929,-71.05027
I182055050,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,7/13/18,2018,7,Friday,4,Part Two,LAWRENCE AVE,42.31116,-71.07548
I182051962,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,7/2/18,2018,7,Monday,13,Part Two,CENTRE ST,42.32284,-71.10097
I182041395,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,5/29/18,2018,5,Tuesday,20,Part Two,DORCHESTER AVE,42.31048,-71.05778
I182032515,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,5/1/18,2018,5,Tuesday,1,Part Two,WARREN ST,42.32222,-71.08207
I182032456,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,4/30/18,2018,4,Monday,19,Part Two,DUDLEY ST,42.32161,-71.07224
I182030897,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,4/25/18,2018,4,Wednesday,11,Part Two,CEYLON ST,42.31252,-71.07164
I182025892,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E18,,4/7/18,2018,4,Saturday,13,Part Two,ELLARD RD,42.2648,-71.11103
I182025891,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E18,,4/7/18,2018,4,Saturday,12,Part Two,FRAZER ST,42.26274,-71.11078
I182023907,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,D4,,3/31/18,2018,3,Saturday,12,Part Two,BEACON ST,42.35192,-71.0855
I182023721,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,3/30/18,2018,3,Friday,16,Part Two,CENTRE ST,42.28709,-71.14822
I182023133,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,3/28/18,2018,3,Wednesday,16,Part Two,DUDLEY ST,42.31735,-71.06583
I182019697,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,A7,,3/15/18,2018,3,Thursday,20,Part Two,MERIDIAN ST,42.37674,-71.03914
I182018304,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,3/10/18,2018,3,Saturday,13,Part Two,BROOKLEY RD,42.3045,-71.10856
I182013197,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,D4,,2/19/18,2018,2,Monday,17,Part Two,MASSACHUSETTS AVE,42.34115,-71.08246
I182010255,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,D4,,2/8/18,2018,2,Thursday,9,Part Two,HARRISON AVE,42.33466,-71.07547
I182010219,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,2/8/18,2018,2,Thursday,6,Part Two,GREENWICH ST,42.33552,-71.08348
I182010209,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,2/8/18,2018,2,Thursday,6,Part Two,RUTHVEN ST,42.31115,-71.08677
I182010001,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,2/7/18,2018,2,Wednesday,10,Part Two,FOREST HILLS ST,42.30492,-71.10298
I182007658,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,1/29/18,2018,1,Monday,15,Part Two,MCLELLAN ST,42.29946,-71.0836
I172106768,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,12/27/17,2017,12,Wednesday,23,Part Two,SCHROEDER PLZ,42.33368,-71.09188
I172105231,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,D14,,12/21/17,2017,12,Thursday,7,Part Two,FANEUIL ST,42.35555,-71.15275
I172099556,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,11/30/17,2017,11,Thursday,18,Part Two,WASHINGTON ST,42.28783,-71.07119
I172086625,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,10/17/17,2017,10,Tuesday,10,Part Two,CARRUTH ST,42.28305,-71.06051
I172078294,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,A1,,9/20/17,2017,9,Wednesday,15,Part Two,SUMMER ST,42.35546,-71.06052
I172067868,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,8/17/17,2017,8,Thursday,16,Part Two,MAYWOOD ST,42.3168,-71.07965
I172067198,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,8/15/17,2017,8,Tuesday,16,Part Two,IFFLEY RD,42.31237,-71.09934
I172063548,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,8/4/17,2017,8,Friday,9,Part Two,GIBSON ST,42.29756,-71.05971
I172062846,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,8/2/17,2017,8,Wednesday,9,Part Two,E FOURTH ST,42.33489,-71.02817
I172062599,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,8/1/17,2017,8,Tuesday,14,Part Two,WASHINGTON ST,42.28309,-71.13173
I172062553,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,8/1/17,2017,8,Tuesday,13,Part Two,BANTON ST,42.28865,-71.06416
I172060787,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,7/26/17,2017,7,Wednesday,19,Part Two,ROSWELL ST,42.3247,-71.06959
I172060543,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,7/26/17,2017,7,Wednesday,0,Part Two,WASHINGTON ST,42.30056,-71.11312
I172060346,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,7/25/17,2017,7,Tuesday,14,Part Two,DIX ST,42.29602,-71.05766
I172059113,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,7/21/17,2017,7,Friday,11,Part Two,FIRTH RD,42.28789,-71.12457
I172054116,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,7/5/17,2017,7,Wednesday,11,Part Two,BROOKLEDGE ST,42.30956,-71.0899
I172053134,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,A1,,7/1/17,2017,7,Saturday,22,Part Two,EDINBORO ST,42.35207,-71.05975
I172051449,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,6/26/17,2017,6,Monday,19,Part Two,COLUMBUS AVE,42.31507,-71.09747
I172049287,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,6/20/17,2017,6,Tuesday,9,Part Two,MERCER ST,42.33044,-71.05019
I172045817,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,6/9/17,2017,6,Friday,12,Part Two,WASHINGTON ST,42.2801,-71.13493
I172041852,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,5/27/17,2017,5,Saturday,6,Part Two,PARKMAN ST,42.29649,-71.05968
I172038748,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,5/17/17,2017,5,Wednesday,9,Part Two,FREDERICK ST,42.33344,-71.05338
I172037669,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,5/13/17,2017,5,Saturday,16,Part Two,CENTRE ST,42.28747,-71.1516
I172037276,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,5/12/17,2017,5,Friday,11,Part Two,ELLINGTON ST,42.30155,-71.08118
I172029298,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E18,,4/15/17,2017,4,Saturday,6,Part Two,WESTMINSTER ST,42.264,-71.11928
I172028413,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,4/12/17,2017,4,Wednesday,10,Part Two,GENEVA AVE,42.30849,-71.0821
I172028408,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,4/12/17,2017,4,Wednesday,11,Part Two,INTERVALE ST,42.31142,-71.07965
I172024879,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,3/31/17,2017,3,Friday,7,Part Two,CRESTWOOD PARK,42.31795,-71.08775
I172024610,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,3/30/17,2017,3,Thursday,10,Part Two,GREENOCK ST,42.29042,-71.09049
I172024317,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,3/29/17,2017,3,Wednesday,11,Part Two,ELM HILL AVE,42.31088,-71.08643
I172022921,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,3/24/17,2017,3,Friday,10,Part Two,WILDWOOD ST,42.28237,-71.08973
I172018714,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,3/9/17,2017,3,Thursday,11,Part Two,HANCOCK ST,42.30855,-71.05875
I172013466,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,2/18/17,2017,2,Saturday,19,Part Two,BURNETT ST,42.30469,-71.11041
I172013463,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,2/18/17,2017,2,Saturday,19,Part Two,BURNETT ST,42.30469,-71.11041
I172009226,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,2/3/17,2017,2,Friday,10,Part Two,WASHINGTON ST,42.3175,-71.09661
I172009224,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,2/3/17,2017,2,Friday,10,Part Two,HAZLETON ST,42.27997,-71.09553
I172008178,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,1/30/17,2017,1,Monday,14,Part Two,MORTON ST,42.2856,-71.09317
I172006712,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,1/25/17,2017,1,Wednesday,16,Part Two,NORFOLK ST,42.28092,-71.08766
I172005069,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,1/19/17,2017,1,Thursday,19,Part Two,MASSACHUSETTS AVE,42.32856,-71.06835
I172001034,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,D4,,1/4/17,2017,1,Wednesday,19,Part Two,HARRISON AVE,42.33402,-71.07638
I162105911,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,12/29/16,2016,12,Thursday,18,Part Two,WARREN ST,42.32396,-71.08267
I162102905,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,A7,,12/18/16,2016,12,Sunday,9,Part Two,PARIS ST,42.37443,-71.03528
I162102027,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,12/15/16,2016,12,Thursday,6,Part Two,ESMOND ST,42.29692,-71.08364
I162102020,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,12/15/16,2016,12,Thursday,6,Part Two,HYDE PARK AVE,42.29323,-71.11766
I162102011,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,12/15/16,2016,12,Thursday,6,Part Two,DEVON ST,42.30928,-71.07869
I162101429,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E18,,12/13/16,2016,12,Tuesday,6,Part Two,CLARE AVE,42.27162,-71.11916
I162101305,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,12/12/16,2016,12,Monday,18,Part Two,BLUE HILL AVE,42.28483,-71.09137
I162101176,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E18,,12/12/16,2016,12,Monday,0,Part Two,HYDE PARK AVE,42.27775,-71.11939
I162099917,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E13,,12/7/16,2016,12,Wednesday,18,Part Two,CENTRE ST,42.32271,-71.09932
I162099061,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,12/5/16,2016,12,Monday,9,Part Two,HOWLAND ST,42.31166,-71.08424
I162095652,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,11/22/16,2016,11,Tuesday,15,Part Two,NORFOLK ST,42.28621,-71.07968
I162095538,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,11/22/16,2016,11,Tuesday,9,Part Two,MAGNOLIA ST,42.31193,-71.07342
I162093550,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,11/15/16,2016,11,Tuesday,16,Part Two,SUPPLE RD,42.30565,-71.08187
I162090744,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,A1,,11/5/16,2016,11,Saturday,15,Part Two,BOYLSTON ST,42.35242,-71.06525
I162087729,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,10/26/16,2016,10,Wednesday,13,Part Two,STOUGHTON ST,42.31662,-71.06408
I162087611,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,10/26/16,2016,10,Wednesday,0,Part Two,BLUE HILL AVE,42.31803,-71.07787
I162083816,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,10/13/16,2016,10,Thursday,9,Part Two,RUTHVEN ST,42.31355,-71.09179
I162081014,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,10/3/16,2016,10,Monday,18,Part Two,HENDRY ST,42.30894,-71.06462
I162076694,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,D14,,9/19/16,2016,9,Monday,17,Part Two,LINCOLN ST,42.35887,-71.14749
I162075460,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,9/15/16,2016,9,Thursday,19,Part Two,BOSTON ST,42.32594,-71.05885
I162072744,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,9/6/16,2016,9,Tuesday,20,Part Two,ABBOTSFORD ST,42.31421,-71.09134
I162071518,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,9/2/16,2016,9,Friday,12,Part Two,GERARD ST,42.33131,-71.07195
I162069236,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,8/26/16,2016,8,Friday,8,Part Two,LAGRANGE ST,42.27906,-71.15557
I162068818,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,8/24/16,2016,8,Wednesday,19,Part Two,DEERING RD,42.28414,-71.09305
I162068784,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E18,,8/24/16,2016,8,Wednesday,16,Part Two,AMERICAN LEGION HWY,42.28447,-71.11183
I162066900,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,8/22/16,2016,8,Monday,13,Part Two,BLUE HILL AVE,42.32126,-71.07749
I162066828,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,8/18/16,2016,8,Thursday,11,Part Two,BERNARD ST,42.2938,-71.08003
I162059408,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,7/25/16,2016,7,Monday,17,Part Two,MCGREEVEY WAY,42.33406,-71.09553
I162055401,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,7/12/16,2016,7,Tuesday,11,Part Two,KERWIN ST,42.29356,-71.0813
I162047425,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E18,,6/15/16,2016,6,Wednesday,17,Part Two,SPRAGUE ST,42.23813,-71.13528
I162041246,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,5/26/16,2016,5,Thursday,16,Part Two,SCHROEDER PLZ,42.33368,-71.09188
I162041245,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,5/26/16,2016,5,Thursday,16,Part Two,SCHROEDER PLZ,42.33368,-71.09188
I162041175,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,5/26/16,2016,5,Thursday,12,Part Two,NEW ENGLAND AVE,42.28942,-71.0783
I162037333,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,5/13/16,2016,5,Friday,12,Part Two,GIBSON ST,42.29756,-71.05971
I162034631,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,5/4/16,2016,5,Wednesday,11,Part Two,CRESTON ST,42.31252,-71.07977
I162034588,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,5/4/16,2016,5,Wednesday,11,Part Two,CRESTON ST,42.31252,-71.07977
I162031239,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,A1,,4/22/16,2016,4,Friday,15,Part Two,KNEELAND ST,42.35054,-71.06119
I162025075,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,4/1/16,2016,4,Friday,4,Part Two,HARVARD ST,42.29549,-71.08587
I162024747,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,3/31/16,2016,3,Thursday,7,Part Two,O ST,42.33784,-71.02929
I162024168,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,3/29/16,2016,3,Tuesday,10,Part Two,HOMES AVE,42.30344,-71.06675
I162021157,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,3/18/16,2016,3,Friday,15,Part Two,ADAMS ST,42.29932,-71.05814
I162020407,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,,3/16/16,2016,3,Wednesday,6,Part Two,COLUMBIA RD,42.3107,-71.07119
I162018795,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,3/10/16,2016,3,Thursday,13,Part Two,HANSBOROUGH ST,42.2881,-71.09153
I162014255,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,2/23/16,2016,2,Tuesday,1,Part Two,BERNARD ST,42.2951,-71.08052
I162013535,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,E5,,2/20/16,2016,2,Saturday,13,Part Two,FLORENCE ST,42.2849,-71.12712
I162013508,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,2/20/16,2016,2,Saturday,11,Part Two,NORFOLK ST,42.28621,-71.07968
I162012079,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,2/15/16,2016,2,Monday,6,Part Two,OLD COLONY AVE,42.32557,-71.05248
I162005893,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,A7,,1/22/16,2016,1,Friday,12,Part Two,W EAGLE ST,42.38136,-71.03768
I162005289,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,,1/20/16,2016,1,Wednesday,8,Part Two,STANWOOD ST,42.30762,-71.07753
I152105876,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,D14,,12/23/15,2015,12,Wednesday,17,Part Two,COMMONWEALTH AVE,42.35074,-71.13048
I152092098,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C6,,11/6/15,2015,11,Friday,9,Part Two,C ST,42.33723,-71.05539
I140295154-00,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,,5/12/16,2016,5,Thursday,14,Part Two,SHANDON RD,42.29505,-71.08904
I182078792,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,B3,,9/29/18,2018,9,Saturday,13,Part Two,NORFOLK ST,42.282,-71.08661
I182077801,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,D4,,9/26/18,2018,9,Wednesday,13,Part Two,MASSACHUSETTS AVE,42.33311,-71.07276
I182076239,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,E5,,9/21/18,2018,9,Friday,9,Part Two,CORNELL ST,42.27651,-71.13101
I182075048,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,E13,,9/17/18,2018,9,Monday,11,Part Two,COLUMBUS AVE,42.31711,-71.09835
I182071337,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,C6,,9/5/18,2018,9,Wednesday,4,Part Two,W SEVENTH ST,42.33751,-71.05582
I182069447,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,B2,,8/29/18,2018,8,Wednesday,19,Part Two,DACIA ST,42.31441,-71.07755
I182069395,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,A7,,8/29/18,2018,8,Wednesday,16,Part Two,CONDOR ST,42.3826,-71.03931
I182069198,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,E18,,8/29/18,2018,8,Wednesday,0,Part Two,CLARON ST,42.27457,-71.13203
I182069023,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,E18,,8/28/18,2018,8,Tuesday,10,Part Two,CUMMINS HWY,42.27992,-71.11888
I182065422,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,B2,,8/16/18,2018,8,Thursday,15,Part Two,SEAVER ST,42.30879,-71.09056
I182065201,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,A7,,8/15/18,2018,8,Wednesday,19,Part Two,BORDER ST,42.37958,-71.04011
I182064361,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,B3,,8/13/18,2018,8,Monday,4,Part Two,HIAWATHA RD,42.27684,-71.09526
I182063475,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,D14,,8/10/18,2018,8,Friday,4,Part Two,FANEUIL ST,42.35555,-71.15275
